id,completed,ants,randomJumpChance,evaporationRate,minIntensity,maxIntensity,moves,falls,jumps,time,totalTime
8,0,10,0.005,0.5,30,500,1,40033,264420,60898.5,524288
8,0,10,0.005,0.5,30,500,1,53580,236145,53559,524288
8,0,10,0.005,0.5,30,500,1,35912,253232,59112.1,524288
8,0,10,0.005,0.5,30,500,1,41557,282709,64519.5,524288
8,0,10,0.005,0.5,30,500,1,32598,350255,71744.9,524288
8,0,10,0.005,0.5,30,500,1,28851,328172,66642.9,524288
8,0,10,0.005,0.5,30,500,1,39035,334801,70710.1,524288
8,0,10,0.005,0.5,30,500,1,33450,274498,55095.5,524288
8,0,10,0.005,0.5,30,500,1,72495,260898,50734.6,524288
8,0,10,0.005,0.5,30,500,1,30966,332722,67673.1,524288
8,0,10,0.005,0.5,30,500,1,47973,271342,56257.4,524288
9,0,10,0.005,0.5,30,1000,1,91583,239013,43635.2,524288
9,0,10,0.005,0.5,30,1000,1,36138,255062,56878.8,524288
9,0,10,0.005,0.5,30,1000,1,32943,263272,62254.4,524288
9,1,10,0.005,0.5,30,1000,27,1431,11616,2362.05,23911.9
9,1,10,0.005,0.5,30,1000,28,437,4736,980.682,9758.03
9,0,10,0.005,0.5,30,1000,1,31071,283744,62915,524288
9,0,10,0.005,0.5,30,1000,1,38685,221773,50610.7,524288
9,0,10,0.005,0.5,30,1000,1,42554,227148,52812.2,524288
9,0,10,0.005,0.5,30,1000,1,33648,372076,77863,524288
9,0,10,0.005,0.5,30,1000,1,39270,273864,62347.9,524288
9,0,10,0.005,0.5,30,1000,1,31533,246281,53504.7,524288
9,0,10,0.005,0.5,30,1000,1,36472,311266,72701,524288
9,1,10,0.005,0.5,30,1000,25,14182,92923,22904.7,214829
9,0,10,0.005,0.5,30,1000,1,35611,284936,62756.8,524288
9,0,10,0.005,0.5,30,1000,1,17502,589040,106449,524288
9,0,10,0.005,0.5,30,1000,1,43226,253950,57979.2,524288
9,0,10,0.005,0.5,30,1000,1,40920,272475,59685.8,524288
9,0,10,0.005,0.5,30,1000,1,45938,230088,55735.6,524288
9,0,10,0.005,0.5,30,1000,1,44960,227702,50804.2,524288
9,1,10,0.005,0.5,30,1000,25,1178,7282,1554.62,15455.5
9,0,10,0.005,0.5,30,1000,1,31082,341165,71718.4,524288
9,0,10,0.005,0.5,30,1000,1,39271,237298,50758.6,524288
9,0,10,0.005,0.5,30,1000,1,40459,274946,63752.7,524288
9,0,10,0.005,0.5,30,1000,1,40974,251187,58398.9,524288
10,0,10,0.005,0.5,30,1500,1,38464,356403,85072.8,524288
10,0,10,0.005,0.5,30,1500,1,39499,290563,71963.7,524288
10,0,10,0.005,0.5,30,1500,1,60859,253709,59561.6,524288
10,0,10,0.005,0.5,30,1500,1,36498,349058,76541.3,524288
10,0,10,0.005,0.5,30,1500,1,47172,264123,61684.5,524288
10,0,10,0.005,0.5,30,1500,1,42907,228774,57530.4,524288
10,0,10,0.005,0.5,30,1500,1,40722,310071,72453.7,524288
10,0,10,0.005,0.5,30,1500,1,19963,989507,169700,524288
10,0,10,0.005,0.5,30,1500,1,40454,278385,65955.3,524288
10,0,10,0.005,0.5,30,1500,1,44680,289723,74059.8,524288
10,0,10,0.005,0.5,30,1500,1,34118,344269,73788.2,524288
10,1,10,0.005,0.5,30,1500,26,981,16014,3186.19,32638.1
10,0,10,0.005,0.5,30,1500,1,48702,308895,69684,524288
10,1,10,0.005,0.5,30,1500,27,1332,8066,1602,15925.7
10,0,10,0.005,0.5,30,1500,1,33640,399440,88067.4,524288
10,0,10,0.005,0.5,30,1500,1,41083,336472,72007.8,524288
10,0,10,0.005,0.5,30,1500,1,45318,347869,70768.5,524288
10,0,10,0.005,0.5,30,1500,1,52425,408252,72962.1,524288
10,0,10,0.005,0.5,30,1500,1,43472,272606,64524.9,524288
10,0,10,0.005,0.5,30,1500,1,47838,269149,65192.8,524288
10,0,10,0.005,0.5,30,1500,1,42101,253634,56478.2,524288
10,0,10,0.005,0.5,30,1500,1,42061,277592,71677.5,524288
10,0,10,0.005,0.5,30,1500,1,35172,336570,71689.1,524288
10,0,10,0.005,0.5,30,1500,1,59875,368988,69796,524288
11,0,10,0.005,0.5,30,2000,1,49521,311746,68055.4,524288
11,0,10,0.005,0.5,30,2000,1,59554,245840,57666.9,524288
11,0,10,0.005,0.5,30,2000,1,43248,248152,67673.1,524288
11,0,10,0.005,0.5,30,2000,1,60301,238909,50427.6,524288
11,0,10,0.005,0.5,30,2000,1,42629,254363,60357.8,524288
11,0,10,0.005,0.5,30,2000,1,29991,566959,106857,524288
11,0,10,0.005,0.5,30,2000,1,19410,683600,120740,524288
11,0,10,0.005,0.5,30,2000,1,46282,255905,59850.1,524288
11,0,10,0.005,0.5,30,2000,1,43467,277405,73440.2,524288
11,0,10,0.005,0.5,30,2000,1,24046,848000,127589,524288
11,0,10,0.005,0.5,30,2000,1,36909,310745,72340.9,524288
11,0,10,0.005,0.5,30,2000,1,29132,589283,112361,524288
11,0,10,0.005,0.5,30,2000,1,55735,504245,90430.1,524288
11,0,10,0.005,0.5,30,2000,1,69764,277589,49565.6,524288
