id,completed,decision jumps,jump value,run value,jump moves,moves,falls,jumps,time,totalTime
412,1,22,10,0.325,26,37,940,2448,83.6365,5882.61
413,1,22,10,0.35,24,37,895,2352,86.2251,5736.52
414,1,22,10,0.375,26,37,860,2280,84.8222,5449.88
415,1,22,10,0.4,25,36,840,2280,82.9684,5466.79
416,0,22,10,0.425,0,0,607,1728,59.1031,3939.57
417,1,22,10,0.45,27,33,754,2064,75.904,4918.48
418,1,22,10,0.475,26,34,779,1992,75.4364,4787.76
419,1,22,10,0.5,27,36,701,1872,80.1293,4534.65
420,1,22,10,0.525,27,35,649,1752,77.8914,4205.03
421,1,22,10,0.55,26,36,697,1776,81.1648,4371.69
422,0,22,10,0.575,0,0,447,1296,59.0029,3008.9
423,0,22,10,0.6,0,0,451,1296,58.8693,3032.01
424,1,22,10,0.625,28,34,604,1560,77.023,3713.77
425,1,22,10,0.65,28,34,606,1560,76.8727,3710.03
426,1,22,10,0.675,29,35,608,1560,79.645,3727.9
427,1,22,10,0.7,29,35,583,1584,79.8955,3797.09
428,1,22,10,0.725,29,35,576,1512,79.7285,3611.15
429,0,22,10,0.75,0,0,533,1392,74.4511,3403
430,0,22,10,0.775,0,0,174,624,27.7892,1320.72
431,1,22,10,0.8,28,36,558,1488,82.0332,3560.82
432,0,22,10,0.825,0,0,192,600,29.6764,1296.76
433,0,22,10,0.85,0,0,160,576,25.401,1213.41
434,0,22,10,0.875,0,0,191,576,25.6348,1252.11
435,0,22,10,0.9,0,0,140,552,21.1423,1169.09
436,0,22,10,0.925,0,0,135,528,20.8417,1106.21
437,0,22,10,0.95,0,0,159,528,20.8417,1134.22
438,0,22,10,0.975,0,0,32,264,9.41874,535.499
439,0,22,10,1,0,0,32,264,9.41874,535.499
440,1,24,10,0.025,27,79,6148,15532,176.804,36762.8
441,1,24,10,0.05,27,64,4584,11830,143.318,28240.3
442,1,24,10,0.075,27,56,3215,8216,127.61,19514.4
443,1,24,10,0.1,26,50,2724,7072,112.996,16706.3
444,1,24,10,0.125,26,47,2061,5512,103.727,12929.9
445,1,24,10,0.15,26,46,1942,4992,102.625,11696.8
446,1,24,10,0.175,25,45,1638,4342,101.206,10255.1
447,1,24,10,0.2,26,41,1503,3900,91.2019,9142.7
448,1,24,10,0.225,26,41,1345,3536,91.8031,8324.35
449,1,24,10,0.25,26,40,1326,3302,90.6174,7914.38
450,1,24,10,0.275,27,39,1172,2990,89.6153,7110.71
451,1,24,10,0.3,28,36,1070,2912,81.5155,6826.83
452,1,24,10,0.325,28,39,1011,2704,88.5799,6400.03
453,1,24,10,0.35,26,38,1017,2652,86.9933,6294.07
454,1,24,10,0.375,25,37,948,2600,83.5864,6217.38
455,1,24,10,0.4,27,38,902,2496,84.5216,5874.18
456,1,24,10,0.425,26,37,895,2262,83.3192,5418.42
457,1,24,10,0.45,26,35,790,2132,79.1607,5082.3
458,1,24,10,0.475,27,37,817,2080,81.9497,4961.58
459,0,24,10,0.5,0,0,586,1638,63.3618,3756.4
460,1,24,10,0.525,26,35,759,2002,80.3631,4859.66
461,0,24,10,0.55,0,0,530,1534,61.0404,3532.53
462,0,24,10,0.575,0,0,501,1456,60.9068,3334.89
