id,completed,bots,epsilon,moves,falls,jumps,time,totalTime
16,1,20,0.2,842,6311,16840,1813.69,36704.4
16,1,20,0.2,1202,8897,24040,2464.73,48927.3
17,1,20,0.25,1518,11184,30360,3233.24,63393.3
17,1,20,0.25,692,5152,13840,1415.56,28827.1
17,1,20,0.25,3906,29080,78120,8202.22,156927
17,1,20,0.25,611,4640,12220,1244.46,25230.6
17,1,20,0.25,506,3534,10120,1070.45,21572.4
17,1,20,0.25,962,7321,19240,2049.69,41114.9
17,1,20,0.25,682,5168,13640,1403.05,28564.3
17,1,20,0.25,3401,25917,68020,7172.65,137547
17,1,20,0.25,2060,15197,41200,4258.98,82701.3
17,1,20,0.25,548,4009,10960,1115.16,22512.3
17,1,20,0.25,3156,22899,63120,6435.25,123666
17,1,20,0.25,678,5016,13560,1434.13,29217.5
17,1,20,0.25,330,2456,6600,648.45,12905.6
17,1,20,0.25,410,2859,8200,777.824,15474.2
17,1,20,0.25,2461,18402,49220,5077.16,98102.2
17,1,20,0.25,3787,28468,75740,7773.05,148848
17,1,20,0.25,1950,14452,39000,4007.83,77973.9
17,0,20,0.25,5062,37827,101260,10579.2,201671
17,1,20,0.25,3429,26319,68580,7259.55,139183
17,1,20,0.25,2524,18102,50480,5125.43,99011
17,1,20,0.25,1123,8668,22460,2388.6,47494.2
17,1,20,0.25,884,6477,17680,1727.33,35090.7
17,1,20,0.25,2207,16611,44140,4676.91,90568.4
17,1,20,0.25,2202,15973,44040,4468.09,86637.5
18,1,20,0.3,5230,37887,104600,10395.7,198217
18,1,20,0.3,3149,22793,62980,6282.84,120798
18,1,20,0.3,1563,11652,31260,3210.26,62960.6
18,0,20,0.3,5261,38892,105240,10856.8,206896
18,1,20,0.3,3521,26110,70420,7325.14,140417
18,1,20,0.3,1648,11848,32960,3411.79,66754.3
18,1,20,0.3,2773,20118,55460,5637.89,108657
18,1,20,0.3,4896,36049,97920,10110.8,192853
18,1,20,0.3,411,3154,8220,885.943,17693.6
18,1,20,0.3,846,5942,16920,1649.78,33641.6
18,1,20,0.3,2323,16541,46460,4651.74,90094.5
18,0,20,0.3,5412,39961,108260,10924.6,208171
18,1,20,0.3,2046,14440,40920,4072.15,79184.4
18,1,20,0.3,975,7022,19500,1958.56,39411.6
18,0,20,0.3,5213,38255,104280,10759.6,205066
18,1,20,0.3,2026,14770,40520,4051.39,78793.9
18,1,20,0.3,142,1152,2840,299.565,5971.15
