id,ukoñczony poziom,agenci,prawdopodobieñstwo losowego skoku,wspó³czynnik uczenia,wspó³czynnik dyskontowy,epsilon,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
44,0,50,0.01,0.1,0.3,0.15,0,1,1.964137017,17694,109086,4526.45
45,1,50,0.01,0.15,0.1,0.05,0,25,47.56148292,3167,27261,916.413
45,1,50,0.01,0.15,0.1,0.05,0,24,45.71073928,1780,16996,581.656
45,1,50,0.01,0.15,0.1,0.05,0,24,46.06827968,3042,22992,827.744
45,1,50,0.01,0.15,0.1,0.05,0,22,41.12452991,5202,36895,1322.95
46,1,50,0.01,0.15,0.1,0.1,0,23,44.23290476,829,7630,279.851
46,0,50,0.01,0.15,0.1,0.1,0,1,1.962721953,16329,121942,4451.67
46,0,50,0.01,0.15,0.1,0.1,0,1,1.865964939,15985,105804,4267.76
46,1,50,0.01,0.15,0.1,0.1,0,26,49.0344965,1261,10678,378.491
47,1,50,0.01,0.15,0.1,0.15,0,22,43.67847579,4337,30181,1151.83
47,1,50,0.01,0.15,0.1,0.15,0,23,45.58299186,1290,9116,358.576
47,0,50,0.01,0.15,0.1,0.15,0,1,1.858706035,15763,98459,4700.17
47,1,50,0.01,0.15,0.1,0.15,0,22,43.71649326,11003,66341,2640.33
48,1,50,0.01,0.15,0.2,0.05,0,23,44.83414679,5041,44865,1406.26
48,1,50,0.01,0.15,0.2,0.05,0,24,47.94206946,1903,17142,653.3
48,1,50,0.01,0.15,0.2,0.05,0,23,43.76620475,2220,16029,589.215
48,1,50,0.01,0.15,0.2,0.05,0,25,49.95862889,2162,18606,628.148
49,0,50,0.01,0.15,0.2,0.1,0,1,1.9243834,15699,93036,4286.41
49,1,50,0.01,0.15,0.2,0.1,0,24,47.60248839,8190,55852,2207.39
49,1,50,0.01,0.15,0.2,0.1,0,24,44.71125644,5197,33015,1198.98
49,1,50,0.01,0.15,0.2,0.1,0,24,45.18734486,2278,19099,651.042
50,1,50,0.01,0.15,0.2,0.15,0,23,45.17236101,8082,51586,2071.23
50,0,50,0.01,0.15,0.2,0.15,0,1,1.975918023,19237,101414,4827.63
50,0,50,0.01,0.15,0.2,0.15,0,1,1.931788303,6334,37248,4876.39
50,0,50,0.01,0.15,0.2,0.15,0,1,1.952895811,19788,104701,4697.13
51,1,50,0.01,0.15,0.3,0.05,0,25,49.19538741,473,5610,198.873
51,1,50,0.01,0.15,0.3,0.05,0,26,49.41906668,489,5399,193.548
51,1,50,0.01,0.15,0.3,0.05,0,22,43.03857467,16061,109024,3667.98
51,1,50,0.01,0.15,0.3,0.05,0,24,46.27518947,3314,29865,1044.06
52,1,50,0.01,0.15,0.3,0.1,0,25,49.09919931,1789,12295,451.74
52,0,50,0.01,0.15,0.3,0.1,0,1,1.864124855,11749,84529,4361.56
52,1,50,0.01,0.15,0.3,0.1,0,25,47.65032226,11855,82802,2799.77
52,1,50,0.01,0.15,0.3,0.1,0,22,43.29377683,3503,22181,832.092
53,1,50,0.01,0.15,0.3,0.15,0,23,43.80179654,2413,17618,695.293
53,0,50,0.01,0.15,0.3,0.15,0,1,1.909823261,11308,95498,4938.55
53,0,50,0.01,0.15,0.3,0.15,0,1,1.853628509,10488,75857,4998.31
53,1,50,0.01,0.15,0.3,0.15,0,22,43.45185139,10515,70785,2709.22
54,1,75,0.01,0.05,0.1,0.05,0,27,51.90087007,686,7662,178.424
54,1,75,0.01,0.05,0.1,0.05,0,24,46.57558788,7608,50813,1275.82
54,1,75,0.01,0.05,0.1,0.05,0,23,43.09311109,4633,47566,1107.65
54,1,75,0.01,0.05,0.1,0.05,0,22,42.71137162,3754,29945,768.576
55,1,75,0.01,0.05,0.1,0.1,0,23,45.4408291,4663,37837,1138.92
55,1,75,0.01,0.05,0.1,0.1,0,23,43.15199007,3873,27097,618.615
55,1,75,0.01,0.05,0.1,0.1,0,22,43.75820227,9751,74876,1856.52
55,0,75,0.01,0.05,0.1,0.1,0,1,1.907053066,19385,127497,3251.76
56,1,75,0.01,0.05,0.1,0.15,0,21,40.62068844,10007,57394,1514.63
56,1,75,0.01,0.05,0.1,0.15,0,23,43.63395542,5604,37338,906.228
56,0,75,0.01,0.05,0.1,0.15,0,1,1.945554149,22165,131428,3389.87
56,1,75,0.01,0.05,0.1,0.15,0,22,42.73741257,3308,23266,587.61
57,1,75,0.01,0.05,0.2,0.05,0,26,51.30053851,3649,31869,675.994
57,1,75,0.01,0.05,0.2,0.05,0,24,45.48096734,3005,25330,707.752
57,1,75,0.01,0.05,0.2,0.05,0,22,41.29638401,7031,62906,1485.28
57,0,75,0.01,0.05,0.2,0.05,0,1,1.943418616,12003,109846,3048.89
58,1,75,0.01,0.05,0.2,0.1,0,23,43.4477888,4116,32811,770.817
58,1,75,0.01,0.05,0.2,0.1,0,23,44.21710733,3336,26949,646.393
58,1,75,0.01,0.05,0.2,0.1,0,21,39.66017317,9886,75091,1869.74
58,1,75,0.01,0.05,0.2,0.1,0,25,49.51744709,2693,22166,507.061
59,1,75,0.01,0.05,0.2,0.15,0,21,41.29095656,3968,27569,693.47
59,1,75,0.01,0.05,0.2,0.15,0,21,41.01692329,6373,42770,1094.87
59,0,75,0.01,0.05,0.2,0.15,0,1,1.901210266,16980,106709,3474.61
59,0,75,0.01,0.05,0.2,0.15,0,1,1.969247363,19100,112620,3331.95
60,1,75,0.01,0.05,0.3,0.05,0,22,41.79423297,4631,27306,632.83
60,1,75,0.01,0.05,0.3,0.05,0,25,46.38849957,2364,18239,416.25
60,1,75,0.01,0.05,0.3,0.05,0,27,52.06963679,3374,35334,772.372
60,1,75,0.01,0.05,0.3,0.05,0,25,49.51929714,1269,10100,237.367
61,1,75,0.01,0.05,0.3,0.1,0,25,48.27912787,2097,16986,396.87
61,1,75,0.01,0.05,0.3,0.1,0,26,49.31265412,2290,19811,455.145
61,1,75,0.01,0.05,0.3,0.1,0,23,42.61393976,10819,81285,1901.64
61,0,75,0.01,0.05,0.3,0.1,0,1,1.887041496,3223,28428,3479.74
62,0,75,0.01,0.05,0.3,0.15,0,1,1.929427507,7222,48175,3624.57
62,0,75,0.01,0.05,0.3,0.15,0,1,1.953806583,18126,121554,3471.22
62,1,75,0.01,0.05,0.3,0.15,0,25,47.70641078,4153,31777,735.831
62,1,75,0.01,0.05,0.3,0.15,0,21,40.68388144,6901,50443,1277.99
63,1,75,0.01,0.1,0.1,0.05,0,25,49.17966182,4901,42726,982.053
63,1,75,0.01,0.1,0.1,0.05,0,25,47.39592931,1569,13739,326.742
63,1,75,0.01,0.1,0.1,0.05,0,25,49.41307432,4007,33310,733.64
63,0,75,0.01,0.1,0.1,0.05,0,1,1.950183514,2417,21980,3234.51
64,1,75,0.01,0.1,0.1,0.1,0,21,40.97244478,8055,54613,1374.46
64,1,75,0.01,0.1,0.1,0.1,0,24,45.57493462,2813,21656,508.78
64,1,75,0.01,0.1,0.1,0.1,0,23,42.57036491,8839,68751,1741.81
64,1,75,0.01,0.1,0.1,0.1,0,24,44.90670753,2643,21799,632.446
65,1,75,0.01,0.1,0.1,0.15,0,23,43.28338574,2651,20591,508.33
65,1,75,0.01,0.1,0.1,0.15,0,21,40.85080795,11074,71119,1897.17
65,1,75,0.01,0.1,0.1,0.15,0,22,43.65143966,19237,110981,3075.55
65,1,75,0.01,0.1,0.1,0.15,0,22,43.49167803,9376,66367,1891.53
66,0,75,0.01,0.1,0.2,0.05,0,1,1.967920485,11501,75020,3506.75
66,1,75,0.01,0.1,0.2,0.05,0,26,48.23199631,2433,14175,334.421
66,1,75,0.01,0.1,0.2,0.05,0,23,45.37763365,1270,11704,306.276
66,1,75,0.01,0.1,0.2,0.05,0,23,44.23336375,5340,37416,833.38
67,1,75,0.01,0.1,0.2,0.1,0,23,45.25608012,6867,49568,1129.44
67,1,75,0.01,0.1,0.2,0.1,0,27,51.10251626,1376,12075,290.701
67,0,75,0.01,0.1,0.2,0.1,0,1,1.858529187,7720,58647,3579.51
