id,ukoñczony poziom,decyzyjne skoki,wartoœæ skoku decyzyjnego,wartoœæ ruchu decyzyjnego,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
258,1,14,10,0.475,35,0,28,77.5908,452,1162,77.5908
259,0,14,10,0.5,0,0,0,57.5332,339,910,57.5332
260,0,14,10,0.525,0,0,0,61.6917,326,854,61.6917
261,0,14,10,0.55,0,0,0,58.7357,321,840,58.7357
262,0,14,10,0.575,0,0,0,39.2292,188,616,39.2292
263,0,14,10,0.6,0,0,0,59.5874,292,770,59.5874
264,0,14,10,0.625,0,0,0,60.1719,298,784,60.1719
265,0,14,10,0.65,0,0,0,56.7316,273,756,56.7316
266,0,14,10,0.675,0,0,0,36.3567,143,490,36.3567
267,0,14,10,0.7,0,0,0,36.3734,142,476,36.3734
268,0,14,10,0.725,0,0,0,30.2108,119,378,30.2108
269,0,14,10,0.75,0,0,0,22.8124,95,350,22.8124
270,0,14,10,0.775,0,0,0,23.2466,91,336,23.2466
271,0,14,10,0.8,0,0,0,30.2108,129,448,30.2108
272,0,14,10,0.825,0,0,0,18.8209,88,322,18.8209
273,0,14,10,0.85,0,0,0,18.7207,78,308,18.7207
274,0,14,10,0.875,0,0,0,9.10144,18,154,9.10144
275,0,14,10,0.9,0,0,0,9.10144,18,154,9.10144
276,0,14,10,0.925,0,0,0,9.10144,18,154,9.10144
277,0,14,10,0.95,0,0,0,9.10144,19,154,9.10144
278,0,14,10,0.975,0,0,0,9.10144,19,154,9.10144
279,0,14,10,1,0,0,0,9.10144,19,154,9.10144
280,1,16,10,0.025,77,0,26,163.917,4048,9970,163.917
281,1,16,10,0.05,68,0,26,145.789,2984,7490,145.789
282,1,16,10,0.075,56,0,26,121.848,1969,5024,121.848
283,1,16,10,0.1,52,0,26,111.042,1789,4432,111.042
284,1,16,10,0.125,46,0,26,99.6859,1286,3392,99.6859
285,1,16,10,0.15,48,0,25,103.11,1240,3184,103.11
286,1,16,10,0.175,43,0,26,91.9868,1112,2736,91.9868
287,1,16,10,0.2,40,0,26,87.4609,1017,2544,87.4609
288,1,16,10,0.225,42,0,27,91.9367,895,2192,91.9367
289,1,16,10,0.25,41,0,27,88.5799,793,2032,88.5799
290,1,16,10,0.275,38,0,27,81.8829,738,1824,81.8829
291,0,16,10,0.3,0,0,0,67.6372,512,1456,67.6372
292,1,16,10,0.325,38,0,26,85.2397,697,1728,85.2397
293,1,16,10,0.35,38,0,26,85.223,658,1648,85.223
294,1,16,10,0.375,40,0,26,86.8096,650,1552,86.8096
295,1,16,10,0.4,36,0,27,80.3631,576,1488,80.3631
296,0,16,10,0.425,0,0,0,22.9126,150,576,22.9126
297,0,16,10,0.45,0,0,0,25.0002,147,560,25.0002
298,0,16,10,0.475,0,0,0,25.4845,149,560,25.4845
299,0,16,10,0.5,0,0,0,24.5325,143,544,24.5325
300,0,16,10,0.525,0,0,0,24.4156,125,496,24.4156
301,0,16,10,0.55,0,0,0,22.2946,120,464,22.2946
302,0,16,10,0.575,0,0,0,22.2946,110,448,22.2946
303,0,16,10,0.6,0,0,0,22.2946,108,432,22.2946
304,0,16,10,0.625,0,0,0,22.2946,122,416,22.2946
305,0,16,10,0.65,0,0,0,22.8625,102,400,22.8625
306,0,16,10,0.675,0,0,0,22.8458,102,400,22.8458
307,0,16,10,0.7,0,0,0,22.8458,102,400,22.8458
308,0,16,10,0.725,0,0,0,23.28,122,400,23.28
309,0,16,10,0.75,0,0,0,23.28,94,368,23.28
310,0,16,10,0.775,0,0,0,25.2674,95,368,25.2674
311,0,16,10,0.8,0,0,0,21.2258,96,368,21.2258
312,0,16,10,0.825,0,0,0,19.2551,91,352,19.2551
313,0,16,10,0.85,0,0,0,19.2551,93,352,19.2551
314,0,16,10,0.875,0,0,0,19.2551,83,336,19.2551
