id,ukoñczony poziom,liczba postaci,epsilon,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
14,1,20,0.1,11,659,1493.75,5118,13180,1493.75
14,1,20,0.1,8,533,1204.91,3980,10660,1204.91
14,1,20,0.1,12,887,2094.27,7468,17740,2094.27
14,1,20,0.1,9,694,1524.15,5087,13880,1524.15
14,1,20,0.1,9,558,1309.12,4437,11160,1309.12
14,1,20,0.1,1,110,214.414,675,2200,214.414
14,1,20,0.1,21,1216,2741.81,9185,24320,2741.81
14,1,20,0.1,14,1152,2596.23,8786,23040,2596.23
14,1,20,0.1,10,689,1506.32,5448,13780,1506.32
14,1,20,0.1,1,85,175.652,636,1700,175.652
14,1,20,0.1,23,1170,2620.14,8826,23400,2620.14
14,1,20,0.1,5,268,539.245,1876,5360,539.245
14,1,20,0.1,11,1056,2230.15,8065,21120,2230.15
14,1,20,0.1,6,353,731.818,2618,7060,731.818
14,1,20,0.1,17,1655,3727.07,11986,33100,3727.07
14,1,20,0.1,4,231,478.199,1387,4620,478.199
14,1,20,0.1,11,695,1643.91,5547,13900,1643.91
14,1,20,0.1,5,378,797.675,2934,7560,797.675
14,1,20,0.1,52,3053,7008.38,23581,61060,7008.38
14,1,20,0.1,9,488,1101.68,3795,9760,1101.68
14,1,20,0.1,2,219,432.81,1645,4380,432.81
14,1,20,0.1,4,393,806.188,2913,7860,806.188
14,1,20,0.1,10,806,1797.4,6243,16120,1797.4
14,1,20,0.1,8,550,1289.03,4395,11000,1289.03
15,1,20,0.15,2,173,343.301,1165,3460,343.301
15,1,20,0.15,11,802,1734.1,5945,16040,1734.1
15,1,20,0.15,4,384,840.571,2894,7680,840.571
15,1,20,0.15,9,689,1445.78,5032,13780,1445.78
15,1,20,0.15,10,1022,2265.71,7955,20440,2265.71
15,1,20,0.15,16,917,1933.39,6871,18340,1933.39
15,1,20,0.15,10,861,1900.52,6103,17220,1900.52
15,1,20,0.15,11,999,2071.86,7862,19980,2071.86
15,1,20,0.15,7,641,1358.79,4840,12820,1358.79
15,1,20,0.15,5,301,656.494,2292,6020,656.494
15,1,20,0.15,13,854,1746.56,6507,17080,1746.56
15,1,20,0.15,3,285,616.96,2265,5700,616.96
15,1,20,0.15,14,994,2292.14,7563,19880,2292.14
15,1,20,0.15,7,549,1146.83,4216,10980,1146.83
15,1,20,0.15,4,345,687.099,2144,6900,687.099
15,1,20,0.15,30,2083,4488.45,14890,41660,4488.45
15,1,20,0.15,7,417,935.043,3260,8340,935.043
15,1,20,0.15,28,2071,4468.92,15906,41420,4468.92
15,1,20,0.15,22,1886,4168.22,14124,37720,4168.22
15,1,20,0.15,14,804,1747.59,6177,16080,1747.59
15,1,20,0.15,44,2854,6257.71,22049,57080,6257.71
15,1,20,0.15,7,648,1446.87,4999,12960,1446.87
15,1,20,0.15,29,1589,3383.8,11456,31780,3383.8
15,1,20,0.15,29,2919,6373.14,22764,58380,6373.14
16,1,20,0.2,0,66,137.793,472,1320,137.793
16,1,20,0.2,34,2884,6141.6,21669,57680,6141.6
16,1,20,0.2,6,373,828.012,2965,7460,828.012
16,1,20,0.2,24,1804,3998.55,13475,36080,3998.55
16,1,20,0.2,3,204,421.843,1354,4080,421.843
16,0,20,0.2,85,4866,10418.5,37665,97340,10418.5
16,1,20,0.2,2,213,441.741,1527,4260,441.741
16,1,20,0.2,66,4432,9674.69,34849,88640,9674.69
16,1,20,0.2,18,1316,2715.32,10221,26320,2715.32
16,1,20,0.2,28,2261,4831.87,17184,45220,4831.87
16,1,20,0.2,14,1184,2535.24,8794,23680,2535.24
16,1,20,0.2,11,1007,2153.37,7959,20140,2153.37
16,1,20,0.2,7,660,1371.43,4558,13200,1371.43
16,1,20,0.2,11,847,1809.35,6201,16940,1809.35
16,1,20,0.2,37,2764,5957.83,21270,55280,5957.83
16,1,20,0.2,9,855,1820.12,6376,17100,1820.12
16,1,20,0.2,2,176,402.696,1368,3520,402.696
16,1,20,0.2,14,939,2079.1,7141,18780,2079.1
16,1,20,0.2,10,570,1150.28,4307,11400,1150.28
16,1,20,0.2,16,1311,2774.35,9728,26220,2774.35
16,0,20,0.2,58,4897,10489.6,37792,97960,10489.6
16,1,20,0.2,2,254,540.666,1882,5080,540.666
16,1,20,0.2,12,842,1813.69,6311,16840,1813.69
16,1,20,0.2,12,1202,2464.73,8897,24040,2464.73
17,1,20,0.25,24,1518,3233.24,11184,30360,3233.24
17,1,20,0.25,9,692,1415.56,5152,13840,1415.56
17,1,20,0.25,76,3906,8202.22,29080,78120,8202.22
17,1,20,0.25,7,611,1244.46,4640,12220,1244.46
17,1,20,0.25,7,506,1070.45,3534,10120,1070.45
17,1,20,0.25,18,962,2049.69,7321,19240,2049.69
17,1,20,0.25,8,682,1403.05,5168,13640,1403.05
17,1,20,0.25,48,3401,7172.65,25917,68020,7172.65
17,1,20,0.25,26,2060,4258.98,15197,41200,4258.98
17,1,20,0.25,9,548,1115.16,4009,10960,1115.16
17,1,20,0.25,50,3156,6435.25,22899,63120,6435.25
17,1,20,0.25,9,678,1434.13,5016,13560,1434.13
17,1,20,0.25,5,330,648.45,2456,6600,648.45
17,1,20,0.25,4,410,777.824,2859,8200,777.824
17,1,20,0.25,25,2461,5077.16,18402,49220,5077.16
17,1,20,0.25,48,3787,7773.05,28468,75740,7773.05
17,1,20,0.25,34,1950,4007.83,14452,39000,4007.83
17,0,20,0.25,96,5062,10579.2,37827,101260,10579.2
17,1,20,0.25,67,3429,7259.55,26319,68580,7259.55
17,1,20,0.25,32,2524,5125.43,18102,50480,5125.43
17,1,20,0.25,15,1123,2388.6,8668,22460,2388.6
17,1,20,0.25,16,884,1727.33,6477,17680,1727.33
17,1,20,0.25,33,2207,4676.91,16611,44140,4676.91
17,1,20,0.25,41,2202,4468.09,15973,44040,4468.09
18,1,20,0.3,80,5230,10395.7,37887,104600,10395.7
18,1,20,0.3,39,3149,6282.84,22793,62980,6282.84
18,1,20,0.3,25,1563,3210.26,11652,31260,3210.26
18,0,20,0.3,103,5261,10856.8,38892,105240,10856.8
18,1,20,0.3,61,3521,7325.14,26110,70420,7325.14
18,1,20,0.3,30,1648,3411.79,11848,32960,3411.79
18,1,20,0.3,52,2773,5637.89,20118,55460,5637.89
18,1,20,0.3,87,4896,10110.8,36049,97920,10110.8
18,1,20,0.3,5,411,885.943,3154,8220,885.943
18,1,20,0.3,14,846,1649.78,5942,16920,1649.78
18,1,20,0.3,39,2323,4651.74,16541,46460,4651.74
18,0,20,0.3,57,5412,10924.6,39961,108260,10924.6
18,1,20,0.3,25,2046,4072.15,14440,40920,4072.15
18,1,20,0.3,10,975,1958.56,7022,19500,1958.56
18,0,20,0.3,94,5213,10759.6,38255,104280,10759.6
18,1,20,0.3,35,2026,4051.39,14770,40520,4051.39
18,1,20,0.3,1,142,299.565,1152,2840,299.565
18,1,20,0.3,1,79,175.719,623,1580,175.719
18,1,20,0.3,51,3705,7532.81,26665,74100,7532.81
18,1,20,0.3,9,733,1545.29,5516,14660,1545.29
18,1,20,0.3,7,638,1352,4746,12760,1352
