id,ukoñczony poziom,rozmiar populacji,elityzm,zmiana wspó³czynnika mutacji,maksymalna wartoœæ wspó³czynnika mutacji,turniej,wspó³czynnik wp³ywu odwiedzonych platform,generacje,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
191,0,550,0.25,0.01,0.05,0.4,15,85,0,0,0,0,44225,1287722,3894.81
192,0,550,0.25,0.01,0.05,0.5,5,87,0,0,0,0,47489,1063774,3747.32
193,1,550,0.25,0.01,0.05,0.5,10,80,75,0,34,59.91833635,50685,933420,3233.5
194,0,550,0.25,0.01,0.05,0.5,15,92,0,0,0,0,75544,1102948,3780.47
195,0,550,0.25,0.01,0.05,0.6,5,96,0,0,0,0,42921,1044684,3780.34
196,1,550,0.25,0.01,0.05,0.6,10,71,79,0,36,71.18920679,44291,951008,3165.14
197,1,550,0.25,0.01,0.05,0.6,15,44,74,0,34,60.42611576,28407,563601,1888.57
198,0,550,0.375,0.01,0.05,0.4,5,96,0,0,0,0,58383,1219727,4025.78
199,0,550,0.375,0.01,0.05,0.4,10,86,0,0,0,0,102033,1220305,4067.5
200,0,550,0.375,0.01,0.05,0.4,15,82,0,0,0,0,41514,1078911,3962.01
201,1,550,0.375,0.01,0.05,0.5,5,55,58,0,33,60.85144287,26830,732135,2245.01
202,1,550,0.375,0.01,0.05,0.5,10,39,71,0,41,67.92361234,17733,433735,1457.49
203,1,550,0.375,0.01,0.05,0.5,15,34,79,0,39,74.17009768,25662,443972,1510.87
204,1,550,0.375,0.01,0.05,0.6,5,89,64,0,33,63.08192779,49944,1078345,3558.48
205,1,550,0.375,0.01,0.05,0.6,10,66,68,0,34,65.59829522,32024,800895,2637.12
206,1,550,0.375,0.01,0.05,0.6,15,69,80,0,36,59.95910667,40376,863668,2663.67
207,0,550,0.5,0.01,0.05,0.4,5,115,0,0,0,0,81742,1243986,4472.51
208,1,550,0.5,0.01,0.05,0.4,10,38,77,0,43,74.95494322,19280,475991,1499.43
209,1,550,0.5,0.01,0.05,0.4,15,35,69,0,45,72.75188079,20494,489540,1451.95
210,1,550,0.5,0.01,0.05,0.5,5,28,65,0,40,65.99692945,11537,315826,891.127
211,1,550,0.5,0.01,0.05,0.5,10,28,75,0,43,82.79242703,12878,341738,1177.18
212,1,550,0.5,0.01,0.05,0.5,15,72,103,0,46,84.84852746,67686,1318213,4521.22
213,1,550,0.5,0.01,0.05,0.6,5,97,60,0,34,66.48406804,88128,1401178,4310.28
214,1,550,0.5,0.01,0.05,0.6,10,65,77,0,38,66.4892076,61286,1087421,3188.68
215,1,550,0.5,0.01,0.05,0.6,15,80,72,0,36,66.2804426,44307,1195757,3848.62
